Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.0013567620608096811,-5.160883141041256,22.19999885559082,0.079345703125,0,0,1.761474518571049,0,0,0,0,0.05859375,,
0.02285999999998603,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0012995159335667337,-5.251677480789247,22.200571060180664,0.0669642835855484,0,0,1.486645336235057,0,0,0,0,0.05859375,,
0,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0013695637544296284,-5.690147706889298,22.20181655883789,0.07723721861839294,0,0,1.7148065592804187,0,0,0,0,0.05859375,,
0.04723000000001048,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001420555485214316,-5.168633877361207,22.198856353759766,0.0795200914144516,0,0,1.7652550865472563,0,0,0,0,0.05859375,,
0.07186000000001513,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.0012928537751193121,-5.294860154571827,22.198665618896484,0.0813802108168602,0,0,1.8065320879187823,0,0,0,0,0.05859375,,
0.09742499999998835,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001292895368745865,-5.481985074296344,22.199499130249023,0.081787109375,0,0,1.8156328634358943,0,0,0,0,0.05859375,,
0.12005999999999767,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0012586211003495305,-5.5572779414044335,22.197999954223633,0.079345703125,0,0,1.761315914336592,0,0,0,0,0.05859375,,
0.14388000000000464,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0012907744545644286,-5.845162433288306,22.19942855834961,0.078125,0,0,1.7343303561210632,0,0,0,0,0.05859375,,
0.16822000000000117,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.0013819605963513314,-5.011404654870784,22.198501586914062,0.079345703125,0,0,1.7613557167351246,0,0,0,0,0.05859375,,
0.191804999999993,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0013734146859893856,-4.857497176517484,22.200000762939453,0.074462890625,0,0,1.653076228685677,0,0,0,0,0.05859375,,
0.22086999999999535,1000,,,,-0.0625,-0.015625,-1.0078125,-0.0013660975311917726,-5.4487676329251284,22.19999885559082,0.076904296875,0,0,1.7072753026150167,0,0,0,0,0.05859375,,
0.24591500000000815,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0013172273125781674,-5.268286201474854,22.199199676513672,0.0859375,0,0,1.9077437222003937,0,0,0,0,0.05859375,,
0.26847500000000585,1000,,,,-0.0625,-0.009765625,-1.009765625,-0.0011958813860748817,-5.1542396527670125,22.198286056518555,0.0809151753783226,0,0,1.796178209361372,0,0,0,0,0.05859375,,
0.29236999999999536,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.0013266384466131408,-5.385654494319818,22.19999885559082,0.074462890625,0,0,1.6530760866589844,0,0,0,0,0.05859375,,
0.319304999999993,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.0014439075866891928,-5.741081116991829,22.19700050354004,0.08544921875,0,0,1.896716351620853,0,0,0,0,0.05859375,,
0.34297000000000116,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.0014978094143942293,-5.374582013862745,22.199554443359375,0.0748697891831398,0,0,1.6620759611339508,0,0,0,0,0.05859375,,
0.36876500000001394,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.0013807673801875323,-5.169741125406913,22.200572967529297,0.078125,0,0,1.7344197630882263,0,0,0,0,0.05859375,,
0.39256500000000233,1000,,,,-0.0625,-0.015625,-1.009765625,-0.0014299644968628527,-5.2671789534291475,22.197776794433594,0.0813802108168602,0,0,1.806459755196613,0,0,0,0,0.05859375,,
0.42415499999999884,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0013612735462938876,-5.554316052882166,22.199499130249023,0.07080078125,0,0,1.5717418817803264,0,0,0,0,0.05859375,,
0.4487250000000058,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.0013959831117368415,-4.974865469362447,22.19818115234375,0.08345170319080353,0,0,1.8524760249010797,0,0,0,0,0.05859375,,
0.4889649999999965,1000,,,,-0.0625,-0.015625,-1.0078125,-0.0012880311756908517,-5.629249064375401,22.198999404907227,0.0830078125,0,0,1.8426903802901506,0,0,0,0,0.05859375,,
0.515,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0012571002182010745,-5.663573753792324,22.200307846069336,0.08263221383094788,0,0,1.8344605850492712,0,0,0,0,0.05859375,,
0.5385849999999919,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001215299609214496,-5.703434683437784,22.19644546508789,0.078125,0,0,1.7340973019599915,0,0,0,0,0.05859375,,
