Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.0439800000000745,1000,,,,-0.0625,-0.015234375,-1.01171875,0.0009416023172999311,0.01618200934708055,0.0018571429653093218,-0.007742745522409678,0,0,0,0,0,0,0,1.0234375,,
0,1374,,,,0.298828125,0.029296875,-0.8984375,0.07715612456350071,-0.38464612657642533,22.17449951171875,3.011474609375,5280,0,66.77794225513935,42.661515709410736,63.88563988152455,0.009016232081308258,0.005760077558347079,2.408203125,Cutoff: vibration (val=2.005859375, limit=2),
0.023875,1374,,,,0.173828125,0.02734375,-1.1328125,0.07725299604228632,-0.3833558110986948,22.17300033569336,2.9083251953125,5279,0,64.48629553196952,42.70994077392217,66.23103470527072,0.008975798236947314,0.005944764045387653,2.396484375,,
0.04812500000046566,1374,,,,-0.2734375,-0.26953125,-1.126953125,0.0769398295098104,-0.38591662492224527,22.17542839050293,3.1082589626312256,5275,0,68.92697404496766,42.503479109533764,61.66450754359922,0.009079647901945091,0.005598920165427179,2.40234375,,
0.0688450000002049,1374,,,,-0.26171875,0.09375,-0.95703125,0.07680622240975643,-0.3835859100192116,22.172998428344727,3.0615234375,5276,0,67.88315436802804,42.43472623181632,62.511423676272834,0.009039434069250812,0.005650678928966726,2.40234375,,
0.09043999999994412,1374,,,,0.515625,-0.099609375,-1.052734375,0.07701993623933204,-0.3822284364833398,22.174001693725586,3.0452473163604736,5279,0,67.52531915079044,42.58094821453038,63.05923281820125,0.008976513030137447,0.005660520250630545,2.388671875,,
0.11308499999996274,1374,,,,-0.25,0.189453125,-1.162109375,0.07732677954024132,-0.38289891611297966,22.17257308959961,3.1131417751312256,5279,0,69.02636354738297,42.74858543995477,61.93080910398838,0.008956996171272252,0.0055471402002821675,2.39453125,,
0.13473000000044705,1374,,,,-0.048828125,-0.17578125,-0.953125,0.07715585804907876,-0.3833712244235141,22.17542839050293,2.98828125,5269,0,66.26641687005758,42.57292149730886,64.24509353024246,0.009005048536491627,0.005785301854712776,2.390625,,
0.15525500000035392,1374,,,,-0.328125,-0.05078125,-1.17578125,0.07671050400382791,-0.38350774244334224,22.174285888671875,3.1124441623687744,5277,0,69.01622666889307,42.393136249473905,61.42488266253087,0.009046458374452103,0.005556776441621902,2.396484375,,
0.1757700000004843,1374,,,,-0.28125,-0.171875,-1.14453125,0.07695622992756253,-0.3849808159153588,22.17333221435547,3.0387370586395264,5278,0,67.3789263132876,42.53335952779435,63.1256119013082,0.009051267527169697,0.005713668011350277,2.38671875,,
0.19885000000009312,1374,,,,0.21875,-0.09765625,-0.9296875,0.07740203118790943,-0.38456905995232876,22.1737117767334,3.0154855251312256,5280,0,66.86450690117135,42.79798327456753,64.00702743209459,0.00898568181320957,0.005751467823141784,2.390625,,
0.21988500000024214,1374,,,,-0.19921875,0.001953125,-1.150390625,0.07729021194582847,-0.38325562448736933,22.173141479492188,3.169642925262451,5273,0,70.28094102131581,42.68035067225162,60.728200351368244,0.008979673748007434,0.005453194264589173,2.390625,,
0.2420950000002049,1374,,,,-0.13671875,0.10546875,-1.03515625,0.07733318295174083,-0.3819818232862309,22.171998977661133,3.0545480251312256,5290,0,67.72543569042637,42.84317610767786,63.2600966991404,0.008915814792213235,0.0056401530590703556,2.390625,,
0.26301000000024216,1374,,,,0.75,0.033203125,-1.037109375,0.07946950148120907,-0.38611479624135064,22.17314338684082,3.1201171875,5283,0,69.182805782184,43.96863371389001,63.55427944382799,0.008781596416069081,0.005581080325897727,2.392578125,,
0.28547999999998136,1374,,,,0.125,-0.20703125,-0.8671875,0.077356751798341,-0.386370217052642,22.173715591430664,3.060825824737549,5287,0,67.86988131263661,42.82823271501881,63.10344424758066,0.009021390623880483,0.005692808202696889,2.384765625,,
0.3069300000001676,1374,,,,-0.328125,0.3203125,-1.181640625,0.07610795786793523,-0.38338773870010623,22.1737117767334,3.070591449737549,5270,0,68.08640979058237,42.0053115198859,61.69412023498414,0.00912712523316498,0.00563089961534638,2.392578125,,
0.3280150000001304,1374,,,,0.1484375,-0.1640625,-0.9375,0.07632390875696056,-0.3823253202393469,22.176666259765625,2.9850261211395264,5278,0,66.19792806519399,42.1837696824252,63.72370090024748,0.009063327510026517,0.005775487714099145,2.380859375,,
0.35024000000022354,1374,,,,-0.203125,-0.0390625,-1.0234375,0.07669393147112549,-0.3821326536791056,22.174854278564453,3.10546875,5279,0,68.8633169978857,42.39409230399602,61.562663769591055,0.009013818504213763,0.0055491467785503,2.38671875,,
0.37330500000016764,1374,,,,0.349609375,0.1015625,-1,0.07681743323766424,-0.38328865304055354,22.173715591430664,3.0419921875,5272,0,67.45226959697902,42.41180927416041,62.87677127480956,0.009037309645596136,0.005682368515257785,2.37109375,,
0.39532000000029804,1374,,,,-0.453125,-0.150390625,-1.060546875,0.07676103741965969,-0.3836453614149432,22.17300033569336,3.0474853515625,5267,0,67.57189372321591,42.337665631726075,62.65573346981688,0.009061561512438594,0.005677587829437032,2.37890625,,
0.41596000000042843,1374,,,,0.5,0,-0.984375,0.0767624669118704,-0.38315433692427103,22.1733341217041,3.0517578125,5276,0,67.66764563508332,42.41124051596471,62.67580335908119,0.009034263847576957,0.005662297444047896,2.376953125,,
